Geneid	RNA_1196Y_1	RNA_1196Y_2	RNA_1199Y_1	RNA_1199Y_2	1196Y_1	1196Y_2	1199Y_1	1199Y_2
Os01g0137250	0	0	0	0	0	0	0	0
Os01g0137266	0	0	0	0	0	0	0	0
Os01g0137282	0	0	0	0	0	0	0	0
Os01g0137300	43	35	29	26	0	0	0	0
Os01g0137500	18	24	17	27	31	12	108	56
Os01g0137550	0	0	0	0	0	6	11	0
Os01g0137700	2	2	3	1	0	0	0	0
Os01g0137950	0	1	0	0	0	0	0	0
Os01g0138000	0	1	2	0	0	0	0	0
Os01g0138100	3	4	1	0	0	23	17	1
Os01g0138232	0	0	0	0	0	0	0	0
Os01g0138300	0	0	0	0	0	0	0	0
Os01g0138400	1	3	10	2	23	0	29	5
Os01g0138451	0	0	0	0	0	0	0	0
Os01g0138500	165	188	54	30	49	0	65	38
Os01g0138600	63	62	33	37	0	23	9	24
Os01g0138800	21	19	4	18	0	0	0	0
Os01g0138900	1689	1738	2708	2109	595	445	1064	544
Os01g0139000	3	6	6	3	9	0	0	0
Os01g0139200	2520	2472	2425	2781	1112	1088	1975	1236
Os01g0139600	0	0	0	0	2	0	0	0
Os01g0139700	24	45	68	67	0	0	0	0
Os01g0139900	0	0	0	0	0	0	0	0
Os01g0140100	4	5	5	4	0	9	2	0
Os01g0140400	16	45	28	46	43	27	48	32
Os01g0140500	926	1094	1151	986	167	92	94	127
Os01g0140700	9	11	0	0	0	0	0	0
Os01g0141000	1	5	11	7	0	2	3	0
Os01g0141100	535	515	442	461	28	0	0	18
Os01g0141150	0	0	0	0	0	0	0	0
Os01g0141300	0	0	0	0	0	0	0	0
Os01g0141450	0	0	0	0	0	0	0	0
Os01g0141600	1132	1389	1085	867	98	170	205	147
Os01g0141700	378	513	342	363	86	125	198	81
Os01g0141900	314	337	196	266	67	182	95	159
Os01g0142100	4357	5718	3948	3021	939	857	986	649
Os01g0142200	178	217	171	226	52	42	122	1
Os01g0142300	239	372	180	102	131	22	110	80
Os01g0142500	140	150	186	213	12	87	90	25
Os01g0142600	0	1	3	4	0	8	0	0
Os01g0142800	141	174	122	152	13	13	0	0
Os01g0142875	0	0	0	0	0	0	0	0
Os01g0142950	0	0	0	0	0	0	0	0
Os01g0143100	195	327	352	322	86	138	206	228
Os01g0143300	43	78	65	51	12	0	0	0
Os01g0143350	0	0	0	0	0	0	0	0
Os01g0143400	0	0	0	0	0	0	0	0
Os01g0143700	0	0	0	0	0	0	0	0
Os01g0143750	0	0	0	0	0	0	0	0
Os01g0143800	3433	4840	4930	3207	776	1086	1664	789
Os01g0143900	5	17	31	85	0	0	0	0
Os01g0144000	252	360	235	217	125	86	104	88
Os01g0144100	1260	1214	1223	1157	793	1061	996	811
Os01g0144200	4	6	5	2	17	0	0	0
Os01g0144300	1	0	3	1	22	11	23	13
ENSRNA049450896	0	0	0	0	0	0	0	0
Os01g0144340	243	318	218	211	133	140	151	132
Os01g0144380	0	0	0	0	0	0	0	0
Os01g0144500	0	0	0	0	0	0	6	2
Os01g0144600	247	238	258	264	69	32	72	30
Os01g0144700	144	108	126	110	0	36	54	31
Os01g0144800	2	8	12	5	0	0	0	0
Os01g0144900	13	14	2	4	0	0	0	0
Os01g0145000	0	2	0	0	0	0	0	0
Os01g0145200	5	6	6	7	0	0	0	0
Os01g0145600	4	1	2	2	0	0	0	0
Os01g0146101	0	0	3	1	0	0	0	0
Os01g0146200	0	0	0	0	0	0	0	15
Os01g0146600	0	0	0	0	0	0	0	0
Os01g0146801	0	0	0	0	0	0	0	0
Os01g0147001	0	0	0	0	0	0	0	0
Os01g0147200	1056	1166	994	1023	408	341	793	827
Os01g0147250	0	0	0	1	0	0	0	0
Os01g0147300	0	0	0	0	0	0	0	0
Os01g0147400	0	0	0	0	1	0	0	0
Os01g0147600	0	8	15	8	0	0	20	0
Os01g0147700	609	599	386	412	348	307	377	375
Os01g0147800	16	12	5	4	0	0	0	0
Os01g0147850	0	0	0	0	0	0	0	0
Os01g0147900	10189	11852	10381	9666	3147	2881	4738	3388
Os01g0148000	1795	1793	1440	1462	577	634	788	364
Os01g0148050	3128	3676	2684	2774	933	1309	1428	1078
Os01g0148100	424	497	445	487	33	79	40	2
Os01g0148200	17	19	4	2	0	0	0	0
Os01g0148400	504	616	478	513	137	155	130	54
Os01g0148500	10	25	40	47	12	25	28	3
Os01g0148700	693	1019	784	603	162	48	114	45
Os01g0149200	1	0	13	14	0	51	36	54
Os01g0149350	55	94	21	16	11	0	5	2
Os01g0149400	475	412	147	205	0	0	0	0
Os01g0149500	116	173	68	51	4	0	0	0
Os01g0149600	179	176	151	250	0	0	5	0
Os01g0149700	19	14	2	2	0	0	0	0
Os01g0149750	0	0	0	0	0	0	0	0
Os01g0149800	8707	10275	4483	3412	518	508	174	237
Os01g0149900	291	429	370	226	160	233	549	386
Os01g0150000	1490	1605	1093	1085	466	673	598	551
Os01g0150100	330	298	152	154	58	45	49	2
Os01g0150200	197	181	195	198	0	0	2	15
Os01g0150400	30	21	4	20	0	0	0	0
Os01g0150500	3	7	4	9	0	9	0	0
Os01g0150700	0	0	0	0	0	0	0	0
Os01g0150800	84	103	48	50	0	0	0	0
Os01g0150900	1	9	6	4	2	0	0	0
Os01g0150950	0	0	0	0	0	0	0	0
Os01g0151100	1348	1777	849	626	580	613	794	704
Os01g0151200	14886	20212	13370	9271	3401	3742	5652	3639
Os01g0151400	1237	1003	709	817	462	241	640	227
Os01g0151500	212	138	120	216	4	64	62	5
Os01g0151600	132	126	181	237	43	54	106	103
Os01g0151700	50	24	28	20	0	0	43	31
Os01g0151750	0	0	0	0	0	0	0	0
Os01g0151900	90	145	53	64	73	22	20	29
Os01g0152000	0	0	0	1	0	0	0	0
Os01g0152050	0	0	0	0	0	0	2	0
Os01g0152100	0	0	0	0	0	0	0	0
Os01g0152200	0	0	0	0	0	0	0	0
Os01g0152300	156	202	126	173	0	2	0	0
Os01g0152500	0	0	0	0	0	0	0	0
Os01g0152600	65	77	54	54	0	0	22	0
Os01g0152687	5	20	6	1	0	0	0	0
Os01g0152700	562	551	446	451	9	0	0	15
Os01g0152800	27	47	8	13	0	0	0	0
Os01g0152850	0	0	0	0	0	0	0	0
Os01g0152900	358	360	259	287	4	0	0	0
Os01g0152950	15	18	105	126	0	0	253	217
Os01g0152951	49	56	7	5	1	0	0	0
Os01g0153000	7	4	0	0	0	0	0	0
Os01g0153050	0	0	0	0	0	0	0	0
Os01g0153100	1296	1142	623	800	54	25	36	89
Os01g0153150	37	54	11	18	0	0	0	0
Os01g0153200	0	0	0	0	0	0	0	0
Os01g0153250	7	20	2	9	21	0	12	0
Os01g0153275	0	0	0	1	0	0	0	0
Os01g0153300	1704	1976	1489	1698	6	62	29	0
Os01g0153400	1654	2166	1433	1129	636	707	506	333
Os01g0153500	0	0	0	0	0	0	0	0
Os01g0153550	0	0	0	0	0	0	0	0
Os01g0153600	0	0	0	0	0	0	0	0
Os01g0153625	0	0	0	0	0	0	0	0
Os01g0153700	61	64	46	36	11	20	0	0
Os01g0153800	0	0	0	0	0	0	0	0
Os01g0153900	0	0	0	0	4	0	0	0
Os01g0153950	0	0	0	0	0	0	0	0
Os01g0154000	19	15	4	11	0	0	0	0
Os01g0154100	0	0	0	0	20	0	0	14
Os01g0154200	0	0	0	0	0	0	0	0
Os01g0154250	0	0	0	0	0	0	0	0
Os01g0154300	0	0	0	0	0	0	0	0
Os01g0154500	0	3	6	14	0	0	0	30
Os01g0154600	106	106	103	78	72	59	116	85
Os01g0154950	6	4	7	3	0	0	62	0
Os01g0155000	7	9	3	4	30	0	14	8
Os01g0155200	15	8	9	11	23	7	72	32
Os01g0155300	0	0	0	0	0	0	0	0
Os01g0155400	994	976	756	710	478	364	541	527
Os01g0155500	806	803	1235	786	278	476	762	602
Os01g0155600	956	1182	1171	1267	263	566	472	463
Os01g0155800	0	0	2	0	6	0	0	0
Os01g0156000	0	0	0	0	0	0	0	0
Os01g0156300	0	0	0	0	0	10	8	26
Os01g0157200	0	0	0	0	0	0	0	0
Os01g0157400	0	0	0	0	0	0	0	0
Os01g0157500	0	0	0	0	0	0	0	0
Os01g0157600	3	4	0	0	0	0	0	0
